date,name,position,team,opp,evG/60,evA/60,evSH/60,evBkS/60,evixG/60,SV/60,GA/60,GSAA/60,xGSAA/60,mean_TOI,lmevixG/60,pplmevixG/60,implied_team_score,over_under,ppg_projection,salary,implied_win_prob,proj_FP/60,proj_FP,proj_value
21_03_24,Juuso Valimaki,D,CGY,OTT,0.1426929327361371,0.8561575964168227,5.565024376709347,3.8527091838757017,0.192635459193785,0.0,0.0,0.0,0.0,15.5561111111111,0.1319409296929785,0.0,3.4,6.0,3.8,3600,0.6184265754438586,23.82446340431381,6.176933331335097,1.7158148142597491
21_03_24,Patrick Marleau,C,SJS,LAK,0.1729106628242069,0.5187319884726209,4.841498559077795,1.2103746397694488,0.5360230547550418,0.0,0.0,0.0,0.0,13.19833333333337,0.6654023296769063,0.6608477193435407,2.8,5.5,5.4,3000,0.5163595982243688,27.5753602278988,6.0658132679092,2.0219377559697334
21_03_24,Gabriel Vilardi,C,LAK,SJS,0.6289857604612589,0.9434786406918884,4.088407442998183,1.100725080807203,0.5204857167816919,0.0,0.0,0.0,0.0,15.131666666666607,0.5645848642535627,0.5903858394758269,2.8,5.5,6.3,3400,0.5163595982243688,24.010190904328944,6.055236756122268,1.7809519870947845
21_03_24,Rudolfs Balcers,W,SJS,LAK,0.522370012091899,1.044740024183798,6.790810157194687,3.30834340991536,0.6512212817412343,0.0,0.0,0.0,0.0,12.952777777777774,0.6108865292828698,0.0,2.8,5.5,5.0,3100,0.5163595982243688,27.924522054282086,6.028335478662839,1.9446243479557546
21_03_24,Dylan Gambrell,C,SJS,LAK,0.3016464870752849,0.6032929741505698,4.524697306129274,3.770581088441062,0.5716200930076649,0.0,0.0,0.0,0.0,15.7755555555556,0.6506871236496545,0.0,2.8,5.5,4.5,3500,0.5163595982243688,22.723225430698058,5.974525086389851,1.7070071675399574
21_03_24,Mike Reilly,D,OTT,CGY,0.0,1.3912310286677965,5.311973018549769,2.6559865092748844,0.1277403035413158,0.0,0.0,0.0,0.0,18.37222222222216,0.1113111068772739,0.0,2.6,6.0,8.1,4100,0.3815734245561414,19.472541129908855,5.962564214500774,1.4542839547562865
21_03_24,Nico Sturm,W,MIN,ANA,0.6382224323366003,0.8509632431154671,7.658669188039203,2.552889729346401,0.780758775558441,0.0,0.0,0.0,0.0,10.797222222222263,0.6508768643416062,0.0,3.3,5.5,4.5,3100,0.6747695450400617,32.985928657248955,5.9359400319781095,1.914819365154229
21_03_24,Troy Terry,W,ANA,MIN,0.9866167268076536,1.3154889690768716,6.084136481980531,0.9866167268076536,0.6149910930434375,0.0,0.0,0.0,0.0,13.91333333333335,0.5443414799773967,0.5443414799773967,2.2,5.5,8.9,3300,0.3252304549599383,25.52912121763864,5.91991955346799,1.7939150162024213
21_03_24,Victor Olofsson,W,BUF,PIT,0.2764446150892688,0.8293338452678065,6.220003839508548,0.691111537723172,0.5072758686888083,0.0,0.0,0.0,0.0,17.532222222222213,0.6000492044607391,0.0,2.3,6.0,10.9,5200,0.2982254082298447,20.140595834415613,5.885156697615626,1.1317609033876204
21_03_24,Jimmy Vesey,W,VAN,WPG,0.7601351351351345,0.3800675675675672,5.510979729729726,2.280405405405404,0.5872043918918914,0.0,0.0,0.0,0.0,11.70222222222223,0.6054317799504266,0.6498985172259719,2.8,6.0,8.1,3400,0.4401984971260817,30.076096670327473,5.86595278022017,1.7252802294765208
