first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Alexander,Radulov,W,,2,1,,2020-01-29,Main,DAL,TOR,-1.5,6,3,6100,19,0.0,2.2,4.8,5.8,0.95
Adrian,Kempe,W,,3,1,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,3700,16,1.6,11.1,32.5,5.8,1.56
Roman,Polak,D,,1,,,2020-01-29,Main,DAL,TOR,-1.5,6,3,3600,29,3.2,4.8,8.0,5.8,1.62
Kris,Russell,D,,3,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,3500,10,0.0,6.2,11.6,5.8,1.65
Loui,Eriksson,W,,1,,,2020-01-29,Main,VAN,SJS,+1.5,6,3,3400,29,0.0,9.4,16.8,5.7,1.68
Sam,Steel,C,,2,2,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3700,29,1.6,7.0,15.2,5.7,1.54
Yannick,Weber,D,,1,,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,3500,22,3.2,6.4,14.4,5.7,1.64
Korbinian,Holzer,D,,3,,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3500,4,1.6,8.2,16.8,5.7,1.63
Barclay,Goodrow,W,,2,2,,2020-01-29,Main,SJS,VAN,-1.5,6,3,3900,8,0.0,5.3,16.8,5.6,1.42
Erik,Gudbranson,D,,1,,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3600,4,3.2,10.5,23.2,5.5,1.53
Rocco,Grimaldi,W,,3,,,2020-01-29,Main,NSH,WSH,+1.5,6.5,2.9,3700,7,3.2,5.8,11.2,5.5,1.48
Dmitry,Orlov,D,,2,2,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,3900,20,1.6,5.8,11.2,5.5,1.41
Sam,Bennett,W,,4,,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,3000,12,0.0,6.1,11.2,5.4,1.79
Nick,Jensen,D,,2,,,2020-01-29,Main,WSH,NSH,-1.5,6.5,3.6,3500,20,0.0,4.8,9.6,5.4,1.55
Dillon,Dube,W,,3,,,2020-01-29,Main,CGY,EDM,+1.5,6,2.9,3200,12,1.6,7.2,15.2,5.4,1.68
Antti,Suomela,C,,2,,,2020-01-29,Main,SJS,VAN,-1.5,6,3,3100,8,1.6,6.1,11.2,5.3,1.70
Adam,Brooks,C,,4,,,2020-01-29,Main,TOR,DAL,+1.5,6,3,3000,8,0.0,5.4,9.6,5.3,1.76
Kasperi,Kapanen,W,,3,2,,2020-01-29,Main,TOR,DAL,+1.5,6,3,3900,24,0.0,4.8,11.2,5.2,1.33
Pierre,Engvall,C,,3,,,2020-01-29,Main,TOR,DAL,+1.5,6,3,4300,8,0.0,6.1,9.6,5.1,1.18
Derek,Forbort,D,DTD,1,,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,3500,17,1.6,5.1,12.8,5.1,1.46
Jason,Dickinson,C,,3,,,2020-01-29,Main,DAL,TOR,-1.5,6,3,3200,31,0.0,7.2,21.6,5.0,1.57
Joakim,Nygard,W,,3,,,2020-01-29,Main,EDM,CGY,-1.5,6,3.1,3300,22,0.0,7.5,16.8,5.0,1.51
Pat,Maroon,W,,3,2,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,3200,25,3.2,8.8,18.4,5.0,1.57
Brenden,Dillon,D,,1,,,2020-01-29,Main,SJS,VAN,-1.5,6,3,3500,6,3.2,4.8,9.6,5.0,1.43
Jamie,Oleksiak,D,,2,,,2020-01-29,Main,DAL,TOR,-1.5,6,3,3500,29,3.2,4.5,6.4,4.9,1.41
Nikolai,Prokhorkin,W,,3,2,,2020-01-29,Main,LAK,TBL,+1.5,6,2.5,3300,16,0.0,6.6,14.9,4.9,1.50
Kyle,Capobianco,D,,3,,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,3500,11,0.0,3.2,8.0,4.9,1.41
Lawson,Crouse,W,,2,,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,3400,20,3.2,8.5,26.4,4.9,1.43
Erik,Cernak,D,,2,,,2020-01-29,Main,TBL,LAK,-1.5,6,3.5,3700,15,1.6,4.8,8.0,4.9,1.34
Travis,Dermott,D,,1,,,2020-01-29,Main,TOR,DAL,+1.5,6,3,3500,30,1.6,4.2,6.4,4.8,1.38
Vinnie,Hinostroza,W,,4,,,2020-01-29,Main,ARI,ANA,-1.5,5,2.6,3400,20,1.6,4.2,6.4,4.8,1.40
Derek,Grant,C,,4,,,2020-01-29,Main,ANA,ARI,+1.5,5,2.4,3300,29,0.0,6.3,22.0,4.7,1.44
